uid,timestamp,item_id,is_organic,played_ratio_pct,track_length_seconds
140100,5193935,6133189,1,0,250
140100,5193935,3246648,1,1,205
140100,5193935,5357236,1,1,255
140100,5193935,5046316,1,0,235
140100,5193935,3710074,1,0,220
140100,5193935,3809003,1,0,250
140100,5193935,2244042,1,2,200
140100,5193935,2701970,1,0,145
140100,5193935,6508823,1,1,325
140100,5193940,3125193,1,2,210
140100,5193940,1906315,1,3,210
140100,5193940,8190641,1,95,215
140100,5193940,4077996,1,94,265
140100,5268450,4077996,1,96,265
140100,5268450,2356637,1,18,120
140100,5268450,4672541,1,2,100
140100,5268450,1632465,1,7,175
140100,5268455,6406430,1,4,170
140100,5268455,9307056,1,5,175
140100,5268455,5862085,1,6,170
140100,5268455,6248661,1,4,120
140100,5268455,530106,1,1,115
140100,5268455,2569067,1,7,250
140100,5268455,9056505,1,2,180
140100,5268455,7344083,1,4,195
140100,5268455,3411963,1,7,330
140100,5268455,8334566,1,5,185
140100,5268460,4735150,1,5,105
140100,5268460,8311266,1,39,225
140100,5268460,7988928,1,1,235
140100,5268460,7400943,1,1,200
140100,5268460,4298456,1,0,265
140100,5268460,4474936,1,1,170
140100,5268460,1494446,1,2,235
140100,5268460,5830511,1,0,235
140100,5268460,8381058,1,2,160
140100,5268460,7794771,1,1,225
140100,5268460,2338988,1,1,190
140100,5268460,3334920,1,27,230
140100,5268460,4341991,1,0,195
140100,5268465,872083,1,0,255
140100,5268465,4490308,1,1,180
140100,5268465,8605837,1,0,270
140100,5268465,4909704,1,6,300
140100,5268465,8118678,1,3,200
140100,5268465,1201946,1,0,225
140100,5268465,1310298,1,0,255
140100,5268465,3067009,1,1,200
140100,5268465,8345850,1,1,280
140100,5268465,2319397,1,1,230
140100,5268465,7564705,1,2,260
140100,5268465,825154,1,33,195
140100,5268465,9355074,1,0,380
140100,5268465,1387144,1,1,205
140100,5268465,8302106,1,2,205
140100,5268465,5424544,1,3,225
140100,5268465,6237774,1,5,275
140100,5268465,3801525,1,1,230
140100,5268470,4523048,1,0,405
140100,5268470,8401258,1,31,220
140100,5268470,5260627,1,1,190
140100,5268470,3362407,1,0,190
140100,5268470,5566385,1,1,215
140100,5268470,4919715,1,2,190
140100,5268470,2572239,1,6,225
140100,5268470,3069872,1,3,205
140100,5268470,5398152,1,3,210
140100,5268470,3300665,1,1,180
140100,5268470,9001294,1,0,240
140100,5268470,1118920,1,0,445
140100,5268470,6485042,1,1,240
140100,5268470,3762138,1,2,230
140100,5268470,4739320,1,1,220
140100,5268470,3590339,1,1,170
140100,5268470,5563615,1,1,255
140100,5321305,5584222,1,3,250
140100,5321305,4395630,1,1,170
140100,5321305,5016149,1,2,240
140100,5321305,3136627,1,0,215
140100,5321305,9220077,1,3,205
140100,5321305,6630280,1,3,220
140100,5321305,10994,1,1,245
140100,5321305,3288260,1,1,175
140100,5321305,3591170,1,9,135
140100,5321305,7471126,1,7,205
140100,5321305,2194514,1,80,255
140100,5321305,4077996,1,100,265
140100,5321310,4077996,1,62,265
140100,5321310,4708129,1,4,185
140100,5321310,6575581,1,43,195
140100,5321310,3662868,1,1,230
140100,5321310,4287995,1,0,215
140100,5321310,341375,1,1,325
140100,5321310,8026475,1,1,165
140100,5321310,1493554,1,0,295
140100,5321310,4306316,1,0,240
140100,5321310,5598338,1,1,240
140100,5321310,1375150,1,1,240
140100,5321310,8293202,1,1,225
140100,5321315,6817130,1,1,205
140100,5321315,4032849,1,3,200
140100,5321315,3559151,1,1,205
140100,5321315,1915839,1,1,165
140100,5321315,1655057,1,3,185
140100,5321315,4425201,1,1,185
140100,5321315,7930756,1,0,165
140100,5321315,6527717,1,2,140
140100,5321315,5972736,1,0,210
140100,5321315,1497917,1,3,180
140100,5321315,5425240,1,2,175
140100,5321315,6470688,1,1,170
140100,5321320,8570620,1,0,120
140100,5321320,7880847,1,0,160
140100,5321320,8151755,1,3,135
140100,5321320,6948140,1,0,215
140100,5321320,4669910,1,1,210
140100,5321320,688027,1,0,190
140100,5321320,7981255,1,0,210
140100,5321320,3635159,1,2,280
140100,5321320,3797633,1,0,145
140100,5321320,4697787,1,0,195
140100,5321325,843152,1,1,205
140100,5321325,5947692,1,0,235
140100,5321325,5973951,1,58,260
140100,5321325,417270,1,7,235
140100,5321325,258850,1,0,165
140100,5321325,3022946,1,1,195
140100,5321325,2524310,1,1,180
140100,5321325,7418429,1,0,225
140100,5321325,2524310,1,1,180
140100,5321325,7418429,1,0,225
140100,5321325,5711921,1,6,205
140100,5321330,8906393,1,1,310
140100,5321330,2707153,1,2,225
140100,5321330,3900437,1,0,255
140100,5321330,9073522,1,0,185
140100,5321330,1307922,1,1,140
140100,5321330,1213013,1,1,195
140100,5321330,4254103,1,2,185
140100,5321330,2245432,1,1,175
140100,5321330,8687027,1,6,155
140100,5321330,342823,1,4,190
140100,5321335,7905703,1,1,250
140100,5321335,4404878,1,18,280
140100,5321335,5513097,1,1,195
140100,5321335,2917345,1,0,215
140100,5321335,2359917,1,1,235
140100,5321335,2846041,1,0,215
140100,5321335,867193,1,32,240
140100,5321335,7648884,0,2,265
140100,5322075,390728,0,5,215
140100,5322075,8904340,0,1,345
140100,5322075,4848503,0,7,205
140100,5322075,8871602,0,46,245
140100,5322075,3179070,1,3,190
140100,5322080,2516338,1,4,225
140100,5322080,7320026,1,1,275
140100,5322080,6940114,1,16,280
140100,5322080,474394,1,2,205
140100,5322080,4820859,1,2,225
140100,5322080,9306644,1,1,225
140100,5322080,7653907,1,2,235
140100,5322080,6268678,1,4,275
140100,5322080,4373345,1,23,260
140100,5322085,2614540,1,2,230
140100,5322085,1909399,1,43,240
140100,5322085,5877881,1,2,355
140100,5322085,5877881,1,0,355
